country_name,ep_start,ep_end,outcome_short,ROW,ERT_regime,Polyarchy,LibDem,LibComp,matched,bermeo_category_primary,bermeo_category_secondary,description
Belarus,1994,2001,Breakdown,NA,NA,NA,NA,NA,FALSE,Executive coup,Executive aggrandizement,"Lukashenko used successive referenda to strip the elected parliament of power and concentrate authority in the presidency, completing the transformation of a young post-Soviet democracy into personalist authoritarian rule."
Nicaragua,1996,2025,Breakdown,2007,2007,2007200820122013,199920062007,200220062007,TRUE,Executive aggrandizement,Strategic harassment,"Ortega engineered a pact with Aleman to divide control of Nicaragua's courts and electoral institutions, laying groundwork for his 2006 comeback; once back in office he eliminated term limits, packed institutions, and violently suppressed protests, culminating in his wife's 2025 installation as co-president."
Madagascar,1997,2002,Breakdown,2000,2000,2002,2002,2003,TRUE,Election-day fraud,Strategic harassment,"Ratsiraka's patronage-based authoritarian rule continued through a disputed December 2001 election whose official count denied Ravalomanana an outright majority, triggering a six-month constitutional crisis before Ratsiraka fled the country."
Ukraine,1997,2000,Breakdown,NA,NA,2000,1999,NA,TRUE,Executive aggrandizement,Election-day fraud,Kuchma used a fraud-marred 1999 re-election and manipulated 2000 referendum to try to expand presidential power at parliament's expense; parliament's refusal to implement the results checked full consolidation.
Moldova,1998,2006,Breakdown,2005,2005,2005,20012005,NA,TRUE,Strategic harassment,Executive aggrandizement,"The Communist Party's growth to an outright constitutional supermajority concentrated unprecedented power in a single party controlling both the presidency and parliament, entrenched through continued state-media dominance."
Solomon Islands,1998,2001,Breakdown,2000,2000,20002001,2000,20002001,TRUE,Open-ended coup,NA,Ethnic tension culminated in a June 2000 coup in which a militia forced out elected PM Ulufa'alu at gunpoint; parliament replaced him under duress before a peace agreement began disarmament.
Venezuela,1998,2018,Breakdown,2002,2002,2003200620112013,200020012002,2000,TRUE,Executive aggrandizement,Strategic harassment,"Chavez converted his 1998 win into unchecked power via a 1999 Constituent Assembly rewriting the constitution, then over two decades used patronage, court-packing, and electoral manipulation to erode checks, culminating under Maduro's fraud-marred 2018 re-election."
Malawi,1999,2005,Breakdown,2000,2000,20002005,2000,NA,TRUE,Executive aggrandizement,Strategic harassment,"Muluzi sought UDF/executive dominance via a failed 2002 third-term bid; though blocked, he engineered the succession of Mutharika via the contested 2004 election, whose subsequent break from UDF left executive power personalized."
Fiji,2000,2001,Breakdown,2000,2000,2000,2000,2000,TRUE,Open-ended coup,Promissory coup,"George Speight's armed takeover of parliament ousted Indo-Fijian PM Chaudhry; the military ultimately deposed Speight, restored order, and organized new 2001 elections, but the coup marked a decisive break along ethnic lines."
Philippines,2001,2005,Breakdown,2004,2004,2005,2004,NA,TRUE,Election-day fraud,Executive aggrandizement,"Arroyo, who assumed the presidency via the 2001 EDSA II ouster of Estrada, was accused of rigging her 2004 re-election through the ""Hello Garci"" scandal; her allies blocked impeachment, cementing an unaccountable executive."
Bangladesh,2002,2007,Breakdown,2002,2002,200220062007,2002,NA,TRUE,Strategic harassment,Open-ended coup,"The BNP government pursued harsh crackdowns against opposition figures, with extrajudicial killings shielded by an indemnity law; this chronic harassment culminated in a January 2007 military-backed takeover that suspended the election."
Thailand,2003,2007,Breakdown,2006,2006,2006,20042006,2006,TRUE,Promissory coup,Open-ended coup,"Thailand's military ousted PM Thaksin in a September 2006 coup while abroad, explicitly promising a swift return to civilian rule; the junta delivered on its promise, holding elections in December 2007, though only after banning Thaksin's party."
Bosnia and Herzegovina,2004,2007,Erosion only,NA,NA,NA,2007,2004,TRUE,Other/unclear,Executive aggrandizement,"Bosnia's erosion reflects continued heavy-handed international ""protectorate"" governance displacing domestic democratic accountability, alongside the failure of constitutional reform and the rise of nationalist leader Dodik."
Sri Lanka,2004,2006,Breakdown,2005,2005,20052006,20052006,20052007,TRUE,Executive aggrandizement,NA,"President Rajapaksa reversed the peace process after his contested 2005 election, allying with hardline nationalists; the LTTE's 2006 reservoir closure triggered renewed war, entrenching executive and military authority."
North Macedonia,2005,2012,Breakdown,2011,2011,20112013,2009201120122013,2013,TRUE,Strategic harassment,Executive aggrandizement,"Gruevski's party won a disputed-adjacent 2006 election after irregularity-marred 2005 local elections, using consecutive victories through 2011 to tilt media, pack security institutions, and marginalize opposition."
Türkiye,2005,2017,Breakdown,2013,2013,2013201420152016,20102011201320145e3,2013201420152016,TRUE,Executive aggrandizement,Strategic harassment,"Erdogan's AKP incrementally dismantled institutional checks through legal, referendum-based channels; the failed 2016 coup triggered mass purges, and the 2017 referendum formally converted Turkey to a presidential system concentrating power in Erdogan."
