country_name,ep_start,ep_end,outcome_short,funke_spell_years,matched,bermeo_category_primary,bermeo_category_secondary,description
Cuba,1904,1907,NA,NA,FALSE,NA,NA,NA
Ecuador,1906,1906,NA,NA,FALSE,NA,NA,NA
Dominican Republic,1908,1917,NA,NA,FALSE,NA,NA,NA
Belgium,1914,1915,Breakdown,NA,FALSE,NA,NA,NA
Greece,1915,1917,NA,NA,FALSE,NA,NA,NA
Costa Rica,1917,1917,NA,NA,FALSE,NA,NA,NA
Hungary,1919,1919,NA,NA,FALSE,NA,NA,NA
Peru,1919,1920,NA,NA,FALSE,NA,NA,NA
Italy,1921,1926,NA,1922–1943,TRUE,NA,NA,NA
Greece,1922,1923,NA,NA,FALSE,NA,NA,NA
Germany,1923,1939,Breakdown,1933–1945,TRUE,NA,NA,NA
Spain,1923,1924,NA,NA,FALSE,NA,NA,NA
Chile,1924,1925,NA,1920–1925,TRUE,NA,NA,NA
Greece,1925,1926,NA,NA,FALSE,NA,NA,NA
Lithuania,1926,1927,Breakdown,NA,FALSE,NA,NA,NA
Poland,1926,1931,Breakdown,NA,FALSE,NA,NA,NA
Portugal,1926,1927,NA,NA,FALSE,NA,NA,NA
Cuba,1929,1934,NA,NA,FALSE,NA,NA,NA
Argentina,1930,1931,NA,1928–1930,TRUE,NA,NA,NA
Austria,1930,1938,Breakdown,NA,FALSE,NA,NA,NA
Bolivia,1930,1935,NA,NA,FALSE,NA,NA,NA
Brazil,1930,1931,NA,1930–1945,TRUE,NA,NA,NA
Czechia,1930,1940,Breakdown,NA,FALSE,NA,NA,NA
Dominican Republic,1930,1931,NA,NA,FALSE,NA,NA,NA
Malta,1930,1931,NA,NA,FALSE,NA,NA,NA
El Salvador,1931,1932,NA,NA,FALSE,NA,NA,NA
Ecuador,1932,1936,NA,1934–1935,TRUE,NA,NA,NA
Estonia,1932,1935,Breakdown,NA,FALSE,NA,NA,NA
Uruguay,1933,1933,Breakdown,NA,FALSE,NA,NA,NA
Bulgaria,1934,1935,NA,NA,FALSE,NA,NA,NA
Latvia,1934,1939,Breakdown,NA,FALSE,NA,NA,NA
Malta,1934,1935,NA,NA,FALSE,NA,NA,NA
Greece,1935,1937,NA,NA,FALSE,NA,NA,NA
Spain,1936,1940,Breakdown,NA,FALSE,NA,NA,NA
Albania,1937,1940,NA,NA,FALSE,NA,NA,NA
Romania,1937,1940,NA,NA,FALSE,NA,NA,NA
Finland,1939,1940,Erosion only,NA,FALSE,NA,NA,NA
France,1939,1941,Breakdown,NA,FALSE,NA,NA,NA
Hungary,1939,1945,NA,NA,FALSE,NA,NA,NA
Belgium,1940,1941,Breakdown,NA,FALSE,NA,NA,NA
Denmark,1940,1944,Breakdown,NA,FALSE,NA,NA,NA
Luxembourg,1940,1941,Breakdown,NA,FALSE,NA,NA,NA
Netherlands,1940,1941,Breakdown,NA,FALSE,NA,NA,NA
Norway,1940,1943,Breakdown,NA,FALSE,NA,NA,NA
Philippines,1941,1942,NA,NA,FALSE,NA,NA,NA
Burma/Myanmar,1942,1943,NA,NA,FALSE,NA,NA,NA
Argentina,1943,1945,NA,NA,FALSE,NA,NA,NA
Colombia,1947,1950,NA,NA,FALSE,NA,NA,NA
Hungary,1947,1949,NA,NA,FALSE,NA,NA,NA
Costa Rica,1948,1948,NA,NA,FALSE,NA,NA,NA
Czechia,1948,1954,NA,NA,FALSE,NA,NA,NA
Peru,1948,1949,NA,NA,FALSE,NA,NA,NA
Argentina,1949,1956,NA,1946–1955,TRUE,NA,NA,NA
Syria,1949,1952,NA,NA,FALSE,NA,NA,NA
Venezuela,1949,1949,NA,NA,FALSE,NA,NA,NA
Cuba,1951,1953,NA,NA,FALSE,NA,NA,NA
Egypt,1952,1953,NA,NA,FALSE,NA,NA,NA
Iran,1953,1954,NA,NA,FALSE,NA,NA,NA
Guatemala,1954,1955,NA,NA,FALSE,NA,NA,NA
Türkiye,1954,1961,NA,NA,FALSE,Executive aggrandizement,Strategic harassment,"Adnan Menderes's Democrat Party government progressively used censorship, arrests of journalists, and pressure on courts and universities to suppress opposition through the late 1950s, prompting a May 1960 military coup that toppled and later executed Menderes, followed by a new constitution and 1961 elections."
Honduras,1955,1955,NA,NA,FALSE,NA,NA,NA
Indonesia,1957,1966,NA,1945–1966,TRUE,Executive coup,Promissory coup,"Sukarno's 1959 decree scrapped the elected Constituent Assembly in favor of a president-centric ""Guided Democracy,"" banning parties like Masyumi. This system collapsed in the crisis following the September 1965 attempted coup, which General Suharto exploited to sideline Sukarno via the March 1966 Supersemar transfer of power, ultimately installing himself as president by 1968."
Ghana,1958,1966,NA,NA,FALSE,Executive aggrandizement,Strategic harassment,Kwame Nkrumah progressively dismantled Ghana's democratic checks via the 1958 Preventive Detention Act and a 1964 referendum making Ghana a one-party state with himself as president for life. Economic mismanagement and military discontent led to his February 1966 overthrow.
Iraq,1958,1968,NA,NA,FALSE,Open-ended coup,NA,"Iraq's 1958-1968 decade was marked by a cascade of military coups d'etat, each replacing one authoritarian regime with another rather than restoring competitive politics."
