country_name,ep_start,ep_end,outcome_label,prch_label,bermeo_category_primary,bermeo_category_secondary,precise_start_date,precise_end_date,precipitating_event,consequential_events,description,confidence,source_url
Türkiye,1954,1961,Autocracy deepening,No,Executive aggrandizement,Strategic harassment,1954,27 May 1960,"Following the Democrat Party's 1954 re-election (57.6% of votes but 92.8% of seats), Adnan Menderes's government imposed press censorship, jailed journalists, and interfered with the judiciary and universities to entrench one-party dominance.","On 27 May 1960, 38 military officers led by Cemal Gürsel staged a coup, arresting the Menderes government; Menderes and two ministers were executed 16-17 September 1961, a new constitution passed by referendum on 9 July 1961, and elections on 15 October 1961 restored civilian multiparty rule.","Adnan Menderes's Democrat Party government progressively used censorship, arrests of journalists, and pressure on courts and universities to suppress opposition through the late 1950s, prompting a May 1960 military coup that toppled and later executed Menderes, followed by a new constitution and 1961 elections.",Medium,https://en.wikipedia.org/wiki/Adnan_Menderes; https://en.wikipedia.org/wiki/1960_Turkish_coup_d'etat
Indonesia,1957,1966,Autocracy deepening,No,Executive coup,Promissory coup,5 July 1959,11 March 1966,"President Sukarno issued Presidential Decree No. 150 of 1959, unilaterally dissolving the elected Constituent Assembly and reinstating the powerful-executive 1945 Constitution, formally ending parliamentary democracy and launching ""Guided Democracy.""","After the failed 30 September Movement coup attempt against army generals (1 October 1965) was crushed by General Suharto, Sukarno signed the ""Supersemar"" order on 11 March 1966 transferring emergency powers to Suharto, who immediately banned the PKI; Suharto became acting president in March 1967 and full president in March 1968.","Sukarno's 1959 decree scrapped the elected Constituent Assembly in favor of a president-centric ""Guided Democracy,"" banning parties like Masyumi. This system collapsed in the crisis following the September 1965 attempted coup, which General Suharto exploited to sideline Sukarno via the March 1966 Supersemar transfer of power, ultimately installing himself as president by 1968.",High,https://en.wikipedia.org/wiki/Guided_Democracy_in_Indonesia; https://en.wikipedia.org/wiki/30_September_Movement
Ghana,1958,1966,Autocracy deepening,No,Executive aggrandizement,Strategic harassment,July 1958,24 February 1966,"In July 1958, Nkrumah's government enacted the Preventive Detention Act, permitting detention without trial for up to five years, used to jail opposition politicians and consolidate CPP dominance.","A 1964 referendum made the CPP the sole legal party and Nkrumah president for life; worsening economic conditions and repression culminated in the 24 February 1966 ""Operation Cold Chop"" military coup while Nkrumah was abroad, with the new National Liberation Council dissolving the CPP and Parliament and suspending the constitution.",Kwame Nkrumah progressively dismantled Ghana's democratic checks via the 1958 Preventive Detention Act and a 1964 referendum making Ghana a one-party state with himself as president for life. Economic mismanagement and military discontent led to his February 1966 overthrow.,High,https://en.wikipedia.org/wiki/Convention_People's_Party; https://en.wikipedia.org/wiki/1966_Ghanaian_coup_d'etat
Iraq,1958,1968,Autocracy deepening,No,Open-ended coup,NA,14 July 1958,17 July 1968,"On 14 July 1958, the Free Officers led by Brigadier Abd al-Karim Qasim overthrew and killed King Faisal II, Crown Prince Abd al-Ilah, and PM Nuri al-Said, ending the Hashemite monarchy and founding the Republic of Iraq.","After a further coup in November 1963 unseated Qasim's Ba'athist-Nasserist successors, a final coup on 17 July 1968 led by Ahmed Hassan al-Bakr seized key government and military installations, establishing the Revolutionary Command Council and inaugurating over three decades of Ba'ath Party rule.","Iraq's 1958-1968 decade was marked by a cascade of military coups d'etat, each replacing one authoritarian regime with another rather than restoring competitive politics.",High,https://en.wikipedia.org/wiki/14_July_Revolution; https://en.wikipedia.org/wiki/17_July_Revolution
Burma/Myanmar,1958,1963,Autocracy deepening,No,Promissory coup,Open-ended coup,28 October 1958,4 July 1962,"Amid an AFPFL party split and political instability, Prime Minister U Nu invited army Chief of Staff Ne Win to form a ""caretaker government"" on 28 October 1958, promising to restore order and hold new elections.","Ne Win's caretaker government held elections in February 1960 and returned power to civilians, but on 2 March 1962 Ne Win staged a second, permanent coup, abolishing parliament and the constitution; by 4 July 1962 all other parties were banned in favor of the sole legal Burma Socialist Programme Party.","Burma's parliamentary system was first interrupted in October 1958 when U Nu handed power to General Ne Win's ""caretaker government"" (a promissory coup that did restore elections in 1960). Ne Win seized power again permanently on 2 March 1962, abolishing the constitution and parliament outright.",High,https://en.wikipedia.org/wiki/Ne_Win's_First_Cabinet; https://en.wikipedia.org/wiki/1962_Burmese_coup_d'etat
Cuba,1959,1961,Autocracy deepening,No,Other/unclear,NA,1 January 1959,2 December 1961,"Facing defeat by Fidel Castro's 26th of July Movement guerrillas, dictator Fulgencio Batista fled Cuba on 1 January 1959; Castro's forces entered Havana on 7-8 January and Castro became Prime Minister by mid-February 1959.","Through 1959-61 the revolutionary government nationalized private industry and land, postponed promised elections, and merged rival factions into the Integrated Revolutionary Organizations; Castro declared Cuba a socialist state on 1 May 1961 and publicly proclaimed himself Marxist-Leninist in December 1961.","This episode captures a revolutionary transfer of power between two non-democratic regimes rather than backsliding from democracy: Castro's guerrilla movement toppled the Batista dictatorship, then progressively consolidated one-party communist rule.",Medium,https://en.wikipedia.org/wiki/Timeline_of_the_Cuban_Revolution
Laos,1959,1965,Autocracy deepening,No,Open-ended coup,NA,December 1959,February 1965,"On 25 December 1959, General Phoumi Nosavan staged a bloodless coup in Vientiane, deploying tanks and paratroopers to seize effective control of government days after PM Phoui Sananikone had dropped Phoumi and other CDNI-aligned ministers from the cabinet.","A cycle of coups and counter-coups followed (Kong Le 1960, Phoumi's CIA-backed counter-coup and the Battle of Vientiane December 1960); Phoumi's final coup attempt collapsed by early February 1965 when General Kouprasith Abhay crushed it and forced Phoumi into exile in Thailand.","Laos's fragile constitutional monarchy was repeatedly seized by rival military factions between 1959 and 1965, entrenching military power over civilian government.",Medium,https://en.wikipedia.org/wiki/Phoui_Sananikone; https://en.wikipedia.org/wiki/1965_Laotian_coups
Ecuador,1960,1964,Autocracy deepening,No,Open-ended coup,NA,November 1961,1964,"On 7 November 1961, the military forced elected President Jose Maria Velasco Ibarra from office after he ordered arrest of his own vice president amid a tax-hike crisis, installing Vice President Carlos Julio Arosemena Monroy as constitutional successor.","Arosemena was overthrown on 11 July 1963 by a military junta led by Ramon Castro Jijon, which declared martial law and outlawed the Communist Party; the junta ruled by decree through 1964 amid harsh austerity measures.",Ecuador underwent two military coups in under three years that entrenched direct military rule and pursued unpopular austerity policies deepening authoritarian control through 1964.,Medium,https://en.wikipedia.org/wiki/Carlos_Julio_Arosemena_Monroy
South Korea,1961,1962,Autocracy deepening,No,Open-ended coup,Executive aggrandizement,May 1961,December 1962,"In the early morning of 16 May 1961, Major General Park Chung-hee led military units to seize Seoul, dissolving the National Assembly, imposing martial law, and ousting the elected government of PM Chang Myon and President Yun Posun.","The junta's Supreme Council for National Reconstruction consolidated control and drafted a new constitution, approved in a referendum on 17 December 1962 with over 78% support, paving the way for Park to convert military rule into a tightly controlled presidency.","Park Chung-hee's May 1961 coup toppled South Korea's fledgling Second Republic democracy, replacing it with military rule; the junta engineered a new constitution via referendum to legitimize Park's continued dominance.",High,https://en.wikipedia.org/wiki/May_16_coup
Nepal,1961,1961,Autocracy deepening,No,Open-ended coup,Executive aggrandizement,December 1960,December 1962,"On 15 December 1960, King Mahendra used the Royal Nepalese Army to seize power, dismissing and imprisoning PM B.P. Koirala and his cabinet, dissolving the elected Parliament, and abrogating Nepal's 1959 constitution.","Mahendra announced the partyless Panchayat system in 1961, then formalized the new order via the Constitution of Nepal, 1962, which outlawed political parties and vested ultimate authority in the king.","King Mahendra's palace coup dissolved Nepal's first democratically elected government, replacing multiparty parliamentary democracy with direct royal rule institutionalized via the 1962 constitution.",High,https://en.wikipedia.org/wiki/1960_Nepal_coup_d'etat
